item_id,item_name,image,description
ind_ahor_fin_ult1,Saving Account,1.jpg,
ind_aval_fin_ult1,Guarantees,2.jpg,
ind_cco_fin_ult1,Current Accounts,3.jpg,
ind_cder_fin_ult1,Derivada Account,4.jpg,
ind_cno_fin_ult1,Payroll Account,5.jpg,
ind_ctju_fin_ult1,Junior Account,6.jpg,
ind_ctma_fin_ult1,Mas particular Account,7.jpg,
ind_ctop_fin_ult1,particular Account,8.jpg,
ind_ctpp_fin_ult1,particular Plus Account,9.jpg,
ind_deco_fin_ult1,Short-term deposits,10.jpg,
ind_deme_fin_ult1,Medium-term deposits,11.jpg,
ind_dela_fin_ult1,Long-term deposits,12.jpg,
ind_ecue_fin_ult1,e-account,13.jpg,
ind_fond_fin_ult1,Funds,14.jpg,
ind_hip_fin_ult1,Mortgage,15.jpg,
ind_plan_fin_ult1,Pensions,16.jpg,
ind_pres_fin_ult1,Loans,17.jpg,
ind_reca_fin_ult1,Taxes,18.jpg,
ind_tjcr_fin_ult1,Credit Card,19.jpg,
ind_valo_fin_ult1,Securities,20.jpg,
ind_viv_fin_ult1,Home Account,21.jpg,
ind_nomina_ult1,Payroll,22.jpg,
ind_nom_pens_ult1,Pensions,23.jpg,
ind_recibo_ult1,Direct Debit,24.jpg,
